tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table 1a,2014,3,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,11618,AUS,EWR,1559,56875,246.27,UA,0.56,278.1,WN,0.29,182.84,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201431042311618AUSEWR
Table 1a,2008,1,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,14831,AUS,SJC,1504,50960,247.02,AA,0.87,243.69,AA,0.87,243.69,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",200811042314831AUSSJC
Table 1a,2013,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,15070,AUS,SWF,1559,546,274.61,US,0.5,305.89,DL,0.39,250.56,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201341042315070AUSSWF
Table 1a,2007,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,15070,AUS,SWF,1559,819,252.4,DL,0.75,256.96,NW,0.11,254.1,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200741042315070AUSSWF
Table 1a,2009,4,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,10800,AUS,BUR,1242,5824,194.2,WN,0.57,197.13,US,0.24,182.32,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200941042310800AUSBUR
Table 1a,2010,1,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,11697,AUS,FLL,1105,26754,157.57,B6,0.41,134.31,B6,0.41,134.31,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",201011042311697AUSFLL
Table 1a,2012,3,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,10800,AUS,BUR,1242,3094,261.51,WN,0.69,254.19,WN,0.69,254.19,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201231042310800AUSBUR
Table 1a,2008,2,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12478,AUS,JFK,1559,47411,226.94,B6,0.8,225.97,DL,0.14,223.96,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200821042312478AUSJFK
Table 1a,2010,4,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,13891,AUS,ONT,1242,8736,199.3,WN,0.52,193.47,AA,0.18,189.56,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201041042313891AUSONT
Table 1a,2013,4,30423,30977,"Austin, TX","Chicago, IL",10423,13232,AUS,MDW,978,34671,221.13,WN,0.96,220.76,F9,0.01,195.07,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",201341042313232AUSMDW
Table 1a,2010,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,10800,AUS,BUR,1242,7917,193.34,WN,0.51,210.68,AA,0.22,162.8,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201011042310800AUSBUR
Table 1a,2009,4,30423,33198,"Austin, TX","Kansas City, MO",10423,13198,AUS,MCI,650,15925,185.31,WN,0.55,186.15,CO,0.14,178.68,"Austin, TX
(30.264979, -97.746598)","Kansas City, MO
(39.099792, -94.578559)",200941042313198AUSMCI
Table 1a,2014,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12391,AUS,ISP,1559,910,223.21,WN,0.94,220.83,WN,0.94,220.83,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201441042312391AUSISP
Table 1a,2008,3,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,11697,AUS,FLL,1105,29120,140.05,WN,0.5,132.41,WN,0.5,132.41,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",200831042311697AUSFLL
Table 1a,2011,4,30423,33195,"Austin, TX","Tampa, FL (Metropolitan Area)",10423,15304,AUS,TPA,928,19383,214.58,WN,0.69,206.53,WN,0.69,206.53,"Austin, TX
(30.264979, -97.746598)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201141042315304AUSTPA
Table 1a,2009,2,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12892,AUS,LAX,1242,86086,140.36,AA,0.47,147.28,WN,0.4,128.45,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200921042312892AUSLAX
Table 1a,2008,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12478,AUS,JFK,1559,38038,230.1,B6,0.88,229.47,DL,0.08,219.82,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200841042312478AUSJFK
Table 1a,2014,3,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,13796,AUS,OAK,1504,19292,214.99,WN,0.85,213.96,B6,0.02,180.85,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",201431042313796AUSOAK
Table 1a,2008,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12892,AUS,LAX,1242,57785,217.01,AA,0.59,214.13,WN,0.24,202.55,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200811042312892AUSLAX
Table 1a,2013,3,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,14831,AUS,SJC,1504,36218,253.95,WN,0.77,246.43,WN,0.77,246.43,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",201331042314831AUSSJC
Table 1a,2012,3,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",10423,11259,AUS,DAL,190,64792,150.22,WN,0.99,150.25,WN,0.99,150.25,"Austin, TX
(30.264979, -97.746598)","Dallas/Fort Worth, TX
(40.11086, -77.035636)",201231042311259AUSDAL
Table 1a,2008,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,11618,AUS,EWR,1559,38675,274.02,CO,0.84,276.57,US,0.04,201.91,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200841042311618AUSEWR
Table 1a,2009,4,30423,30977,"Austin, TX","Chicago, IL",10423,13930,AUS,ORD,978,54509,182.99,AA,0.71,176.71,AA,0.71,176.71,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",200941042313930AUSORD
Table 1a,2013,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12953,AUS,LGA,1559,27846,229.95,AA,0.39,220.16,AA,0.39,220.16,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201311042312953AUSLGA
Table 1a,2008,4,30423,31453,"Austin, TX","Houston, TX",10423,12266,AUS,IAH,148,13013,122.66,CO,1.0,122.66,CO,1.0,122.66,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",200841042312266AUSIAH
Table 1a,2012,4,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,11697,AUS,FLL,1105,36400,185.03,WN,0.39,185.8,WN,0.39,185.8,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",201241042311697AUSFLL
Table 1a,2011,1,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,10721,AUS,BOS,1698,35399,229.29,B6,0.36,232.61,WN,0.1,194.58,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201111042310721AUSBOS
Table 1a,2008,2,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,13891,AUS,ONT,1242,6916,199.95,WN,0.38,211.36,US,0.21,185.74,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200821042313891AUSONT
Table 1a,2007,3,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12954,AUS,LGB,1242,1183,191.71,US,0.91,193.99,DL,0.05,162.82,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200731042312954AUSLGB
Table 1a,2011,4,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,14908,AUS,SNA,1242,15015,207.5,AA,0.42,194.43,AA,0.42,194.43,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201141042314908AUSSNA
Table 1a,2013,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,13891,AUS,ONT,1242,5187,266.56,WN,0.58,264.83,AA,0.15,255.4,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201311042313891AUSONT
Table 1a,2010,3,30423,31453,"Austin, TX","Houston, TX",10423,12191,AUS,HOU,148,20566,130.38,WN,1.0,130.38,WN,1.0,130.38,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201031042312191AUSHOU
Table 1a,2008,4,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12954,AUS,LGB,1242,12376,145.65,B6,0.92,144.56,B6,0.92,144.56,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200841042312954AUSLGB
Table 1a,2009,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,13891,AUS,ONT,1242,9009,153.89,WN,0.39,155.46,CO,0.12,137.7,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200911042313891AUSONT
Table 1a,2009,1,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,13303,AUS,MIA,1105,6006,218.45,AA,0.52,235.38,CO,0.32,186.36,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",200911042313303AUSMIA
Table 1a,2013,4,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",10423,11298,AUS,DFW,190,23296,167.23,AA,0.98,165.67,AA,0.98,165.67,"Austin, TX
(30.264979, -97.746598)","Dallas/Fort Worth, TX
(40.11086, -77.035636)",201341042311298AUSDFW
Table 1a,2010,3,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",10423,10821,AUS,BWI,1342,43589,212.05,WN,0.61,222.79,DL,0.11,184.67,"Austin, TX
(30.264979, -97.746598)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201031042310821AUSBWI
Table 1a,2013,4,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,10721,AUS,BOS,1698,51597,236.52,B6,0.31,266.57,AA,0.23,215.46,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201341042310721AUSBOS
Table 1a,2011,2,30423,30466,"Austin, TX","Phoenix, AZ",10423,14107,AUS,PHX,872,46865,198.12,WN,0.59,202.83,US,0.27,194.48,"Austin, TX
(30.264979, -97.746598)","Phoenix, AZ
(30.406931, -87.217578)",201121042314107AUSPHX
Table 1a,2014,2,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,10721,AUS,BOS,1698,56602,247.67,B6,0.29,285.11,WN,0.12,207.24,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201421042310721AUSBOS
Table 1a,2013,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12478,AUS,JFK,1559,73164,227.11,B6,0.51,226.54,DL,0.24,222.21,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201341042312478AUSJFK
Table 1a,2011,4,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12892,AUS,LAX,1242,77350,240.64,AA,0.45,210.77,WN,0.32,192.18,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201141042312892AUSLAX
Table 1a,2008,2,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,10721,AUS,BOS,1698,38129,240.43,B6,0.5,215.04,B6,0.5,215.04,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",200821042310721AUSBOS
Table 1a,2011,2,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12954,AUS,LGB,1242,20020,156.27,B6,0.92,153.5,B6,0.92,153.5,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201121042312954AUSLGB
Table 1a,2011,3,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,11697,AUS,FLL,1105,30394,162.82,B6,0.51,138.73,B6,0.51,138.73,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",201131042311697AUSFLL
Table 1a,2011,3,30423,33195,"Austin, TX","Tampa, FL (Metropolitan Area)",10423,15304,AUS,TPA,928,16380,210.84,WN,0.65,209.96,CO,0.1,207.03,"Austin, TX
(30.264979, -97.746598)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201131042315304AUSTPA
Table 1a,2012,2,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,14307,AUS,PVD,1698,6097,265.4,WN,0.6,255.82,UA,0.13,239.04,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201221042314307AUSPVD
Table 1a,2011,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12954,AUS,LGB,1242,15197,167.59,B6,0.92,166.58,B6,0.92,166.58,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201111042312954AUSLGB
Table 1a,2014,4,30423,30977,"Austin, TX","Chicago, IL",10423,13930,AUS,ORD,978,62972,258.77,AA,0.62,244.96,AA,0.62,244.96,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",201441042313930AUSORD
Table 1a,2007,2,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12197,AUS,HPN,1559,819,401.96,AA,0.57,360.44,AA,0.57,360.44,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200721042312197AUSHPN
Table 1a,2009,4,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12391,AUS,ISP,1559,1911,207.46,WN,0.99,206.98,WN,0.99,206.98,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200941042312391AUSISP
Table 1a,2007,3,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",10423,11278,AUS,DCA,1342,18746,253.47,AA,0.48,253.94,NW,0.11,225.42,"Austin, TX
(30.264979, -97.746598)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",200731042311278AUSDCA
Table 1a,2008,3,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,11618,AUS,EWR,1559,31759,298.45,CO,0.8,309.04,NW,0.01,186.75,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",200831042311618AUSEWR
Table 1a,2009,4,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12892,AUS,LAX,1242,68250,191.97,AA,0.43,201.7,WN,0.37,181.85,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200941042312892AUSLAX
Table 1a,2011,4,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,11697,AUS,FLL,1105,34398,175.55,B6,0.43,161.52,B6,0.43,161.52,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",201141042311697AUSFLL
Table 1a,2011,1,30423,30977,"Austin, TX","Chicago, IL",10423,13930,AUS,ORD,978,44590,238.3,AA,0.63,233.35,AA,0.63,233.35,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",201111042313930AUSORD
Table 1a,2014,3,30423,30977,"Austin, TX","Chicago, IL",10423,13232,AUS,MDW,978,34580,239.83,WN,0.95,239.02,WN,0.95,239.02,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",201431042313232AUSMDW
Table 1a,2011,2,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,10721,AUS,BOS,1698,45591,246.95,B6,0.36,245.64,CO,0.11,232.51,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201121042310721AUSBOS
Table 1a,2010,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12197,AUS,HPN,1559,1092,281.18,UA,0.36,262.72,DL,0.23,258.21,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201011042312197AUSHPN
Table 1a,2014,1,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,13796,AUS,OAK,1504,14651,220.0,WN,0.87,216.58,WN,0.87,216.58,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",201411042313796AUSOAK
Table 1a,2011,4,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,14831,AUS,SJC,1504,41041,231.01,WN,0.76,220.29,WN,0.76,220.29,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",201141042314831AUSSJC
Table 1a,2012,4,30423,33195,"Austin, TX","Tampa, FL (Metropolitan Area)",10423,15304,AUS,TPA,928,21931,203.99,WN,0.58,219.86,AA,0.15,172.98,"Austin, TX
(30.264979, -97.746598)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201241042315304AUSTPA
Table 1a,2011,1,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,14771,AUS,SFO,1504,49595,217.98,B6,0.36,172.54,B6,0.36,172.54,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",201111042314771AUSSFO
Table 1a,2010,4,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",10423,10821,AUS,BWI,1342,46228,219.33,WN,0.71,223.48,DL,0.09,199.37,"Austin, TX
(30.264979, -97.746598)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201041042310821AUSBWI
Table 1a,2007,1,30423,30977,"Austin, TX","Chicago, IL",10423,13930,AUS,ORD,978,50141,191.58,AA,0.75,185.43,AA,0.75,185.43,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",200711042313930AUSORD
Table 1a,2009,2,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",10423,11259,AUS,DAL,190,85358,123.34,WN,0.99,123.21,WN,0.99,123.21,"Austin, TX
(30.264979, -97.746598)","Dallas/Fort Worth, TX
(40.11086, -77.035636)",200921042311259AUSDAL
Table 1a,2008,3,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,13796,AUS,OAK,1504,31213,151.28,WN,0.87,146.86,WN,0.87,146.86,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",200831042313796AUSOAK
Table 1a,2010,4,30423,30977,"Austin, TX","Chicago, IL",10423,13232,AUS,MDW,978,22295,187.29,WN,0.97,187.25,F9,0.01,150.16,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",201041042313232AUSMDW
Table 1a,2012,3,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",10423,10821,AUS,BWI,1342,42224,228.71,WN,0.64,245.42,DL,0.14,176.57,"Austin, TX
(30.264979, -97.746598)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201231042310821AUSBWI
Table 1a,2011,1,30423,31453,"Austin, TX","Houston, TX",10423,12266,AUS,IAH,148,10738,163.28,CO,0.94,164.83,UA,0.05,136.93,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201111042312266AUSIAH
Table 1a,2007,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,14908,AUS,SNA,1242,13377,222.65,AA,0.36,227.09,HP,0.11,207.39,"Austin, TX
(30.264979, -97.746598)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",200711042314908AUSSNA
